PRODUTOS,UNID,BAHAMAS,BRETAS,PAIS E FILHOS,MART MINAS,FORTALEZA,CARREFOUR,VILLEFORT,REI DO ARROZ,PreçosMAIOR E MENOR VARIAÇÃO (%),,
1 - ALIMENTOS,,,,,,,,,,PREÇO,MÉDIA MÍNIMO,MÁXIMO
Açúcar cristal - mais barato,5kg,,"9,85","8,55","9,49","8,99","12,79","8,69","8,55","49,6%","9,56 8,55","12,79"
Açúcar re nado - mais barato,1kg,,"2,95","2,29","2,39","2,69","3,99","2,29","2,89","74,2%","2,78 2,29","3,99"
Arroz L.F. tipo 1 - mais barato,5kg,,"9,45","9,98","10,98","10,49","11,48","7,78","14,99","92,7%","10,74 7,78","14,99"
Feijão anão preto tipo 1 - mais barato,1kg,,"4,65","3,99","4,39","3,99","4,49","4,28","3,89","19,5%","4,24 3,89","4,65"
Fubá de milho - mais barato,1kg,,"1,79","1,15","1,79","1,39","2,89","1,39","1,99","151,3%","1,77 1,15","2,89"
Farinha de trigo especial - DONA BENTA ( sem fermento),1kg,,,"2,99",,"3,99",,"2,19","2,99","82,2%","3,04 2,19","3,99"
Farinha de trigo especial - SANTA LUZIA ( sem fermento),1kg,,"2,85","1,79","1,99","1,89",,"1,89",,"59,2%","2,08 1,79","2,85"
Farinha de trigo especial - mais barato ( sem fermento),1kg,,"1,99","1,69","1,69","1,69","2,79","1,59","1,99","75,5%","1,92 1,59","2,79"
Amido de milho - mais barato,1kg,,"5,99","3,99","2,19","2,99","4,99","3,09","17,90","717,4%","5,88 2,19","17,90"
Biscoito maisena - AYMORÉ,200g,,"1,99","1,98","1,69","1,99","1,69","1,29","2,39","85,3%","1,86 1,29","2,39"
Biscoito maisena - mais barato,200g,,"2,19","1,49","1,69","1,59","2,19","1,29","1,59","69,8%","1,72 1,29","2,19"
Biscoito cream cracker - AYMORÉ,200g,,"1,99","1,98","1,69","1,99","1,58","1,39","2,19","57,6%","1,83 1,39","2,19"
Biscoito cream cracker - BAUDUCCO,200g,,,"1,99","1,98","1,99","1,79",,"2,19","22,3%","1,99 1,79","2,19"
Pão francês - mais barato,1kg,,"8,99","9,98","7,99","11,90","11,89","7,98","9,90","49,1%","9,80 7,98","11,90"
Café torrado moído - TOKO,500g,,,"10,98","9,98",,"10,99",,"10,98","10,1%","10,73 9,98","10,99"
Café torrado moído - 3 CORAÇÕES,500g,,"9,99","9,98","8,98","10,99","10,49","8,98","10,45","22,4%","9,98 8,98","10,99"
Café torrado moído - mais barato,500g,,"7,55","5,98","7,38","6,99","8,98","5,99","6,99","50,2%","7,12 5,98","8,98"
Achocolatado em pó - NESCAU,400g,,"8,55","6,99","6,98","5,99","7,49","5,75","7,99","48,7%","7,11 5,75","8,55"
Achocolatado em pó - mais barato,400g,,"8,27","4,99","5,98","3,99","5,99","2,99","3,89","176,6%","5,16 2,99","8,27"
Leite em pó  integral - lata - mais barato,400g,,"10,99","8,98","13,90","9,98","9,79","11,98","10,99","54,8%","10,94 8,98","13,90"
Leite longa vida  - mais barato,1ltr,,"2,39","2,29","2,29","2,29","2,29","2,28","2,39","4,8%","2,32 2,28","2,39"
Iogurte com polpa de fruta - mais barato,ban/6unid,,"2,19","1,99","2,98","1,99","1,99","9,98","2,59","401,5%","3,39 1,99","9,98"
Manteiga 1a qualidade - mais barata,200g,,"6,89","5,49","6,88","4,99","6,39","5,65","6,89","38,1%","6,17 4,99","6,89"
Margarina Cremosa - Qualy,500g,,"5,73","3,79","3,48","3,99","4,98","3,98","3,79","64,7%","4,25 3,48","5,73"
